target_id,rater_id,K,history_count,history_ids,prompt_tokens,context_fit,target_leaked,prompt_language
2016:1,rater_7,7,7,6239:1|7859:2|2868:1|5416:1|6477:1|215:1|1333:1,3836,True,False,en
2039:2,rater_22,0,0,,444,True,False,en
2039:2,rater_22,1,1,589:2,1279,True,False,en
2039:2,rater_22,3,3,589:2|2960:2|7219:2,2276,True,False,en
2039:2,rater_22,5,5,589:2|2960:2|7219:2|2937:2|2895:2,3229,True,False,en
2039:2,rater_22,7,7,589:2|2960:2|7219:2|2937:2|2895:2|2020:2|2015:2,4345,True,False,en
2042:2,rater_22,0,0,,649,True,False,en
2042:2,rater_22,1,1,2906:2,935,True,False,en
2042:2,rater_22,3,3,2906:2|1828:2|2892:2,1876,True,False,en
2042:2,rater_22,5,5,2906:2|1828:2|2892:2|606:2|2052:2,2740,True,False,en
2042:2,rater_22,7,7,2906:2|1828:2|2892:2|606:2|2052:2|2888:2|2039:2,3558,True,False,en
208:2,rater_2,0,0,,381,True,False,en
208:2,rater_2,1,1,1853:2,991,True,False,en
208:2,rater_2,3,3,1853:2|2140:2|860:2,1639,True,False,en
208:2,rater_2,5,5,1853:2|2140:2|860:2|3907:2|3598:2,3141,True,False,en
208:2,rater_2,7,7,1853:2|2140:2|860:2|3907:2|3598:2|2541:2|885:2,4846,True,False,en
2354:2,rater_2,0,0,,880,True,False,en
2354:2,rater_2,1,1,2163:2,1535,True,False,en
2354:2,rater_2,3,3,2163:2|8445:2|6200:1,2576,True,False,en
2354:2,rater_2,5,5,2163:2|8445:2|6200:1|860:2|1856:2,3510,True,False,en
2354:2,rater_2,7,7,2163:2|8445:2|6200:1|860:2|1856:2|2781:2|3907:2,4800,True,False,en
2387:1,rater_7,0,0,,588,True,False,en
2387:1,rater_7,1,1,1619:1,1083,True,False,en
2387:1,rater_7,3,3,1619:1|286:2|1717:1,2355,True,False,en
2387:1,rater_7,5,5,1619:1|286:2|1717:1|5341:1|419:2,3464,True,False,en
2387:1,rater_7,7,7,1619:1|286:2|1717:1|5341:1|419:2|1553:1|616:2,4051,True,False,en
242:1,rater_7,0,0,,588,True,False,en
242:1,rater_7,1,1,4927:1,1467,True,False,en
242:1,rater_7,3,3,4927:1|8646:1|8615:1,2777,True,False,en
242:1,rater_7,5,5,4927:1|8646:1|8615:1|5568:1|1428:1,4026,True,False,en
242:1,rater_7,7,7,4927:1|8646:1|8615:1|5568:1|1428:1|6477:1|3140:1,4927,True,False,en
2431:1,rater_4,0,0,,993,True,False,en
2431:1,rater_4,1,1,6030:2,1232,True,False,en
2431:1,rater_4,3,3,6030:2|1398:2|8701:2,2370,True,False,en
2431:1,rater_4,5,5,6030:2|1398:2|8701:2|1240:2|1859:2,3743,True,False,en
2431:1,rater_4,7,7,6030:2|1398:2|8701:2|1240:2|1859:2|7809:1|8661:2,4186,True,False,en
2557:2,rater_11,0,0,,777,True,False,en
2557:2,rater_11,1,1,681:2,1148,True,False,en
2557:2,rater_11,3,3,681:2|4812:2|4591:2,2271,True,False,en
2557:2,rater_11,5,5,681:2|4812:2|4591:2|5582:2|4547:2,3233,True,False,en
2557:2,rater_11,7,7,681:2|4812:2|4591:2|5582:2|4547:2|5251:2|5556:2,4631,True,False,en
2615:2,rater_11,0,0,,714,True,False,en
2615:2,rater_11,1,1,5203:2,1553,True,False,en
2615:2,rater_11,3,3,5203:2|5535:2|5269:2,2692,True,False,en
2615:2,rater_11,5,5,5203:2|5535:2|5269:2|2654:2|5481:2,3974,True,False,en
2615:2,rater_11,7,7,5203:2|5535:2|5269:2|2654:2|5481:2|3848:2|4803:2,5011,True,False,en
2781:2,rater_2,0,0,,688,True,False,en
2781:2,rater_2,1,1,2451:2,1225,True,False,en
2781:2,rater_2,3,3,2451:2|3257:2|6249:2,2860,True,False,en
2781:2,rater_2,5,5,2451:2|3257:2|6249:2|2254:2|3818:2,3989,True,False,en
2781:2,rater_2,7,7,2451:2|3257:2|6249:2|2254:2|3818:2|3689:2|2315:2,4910,True,False,en
2840:1,rater_19,0,0,,945,True,False,en
2840:1,rater_19,1,1,7291:1,1306,True,False,en
2840:1,rater_19,3,3,7291:1|6097:1|377:1,2760,True,False,en
2840:1,rater_19,5,5,7291:1|6097:1|377:1|6189:1|4194:1,4374,True,False,en
2840:1,rater_19,7,7,7291:1|6097:1|377:1|6189:1|4194:1|4051:1|4030:1,5264,True,False,en
2845:2,rater_9,0,0,,725,True,False,en
2845:2,rater_9,1,1,5488:1,1222,True,False,en
2845:2,rater_9,3,3,5488:1|3447:2|2458:1,1967,True,False,en
2845:2,rater_9,5,5,5488:1|3447:2|2458:1|5441:1|5390:1,3002,True,False,en
2845:2,rater_9,7,7,5488:1|3447:2|2458:1|5441:1|5390:1|8798:2|4501:1,3885,True,False,en
2993:1,rater_15,0,0,,752,True,False,en
2993:1,rater_15,1,1,1049:2,1043,True,False,en
2993:1,rater_15,3,3,1049:2|7003:1|1548:2,1629,True,False,en
2993:1,rater_15,5,5,1049:2|7003:1|1548:2|6296:2|417:1,2933,True,False,en
2993:1,rater_15,7,7,1049:2|7003:1|1548:2|6296:2|417:1|692:2|605:1,3823,True,False,en
2993:2,rater_12,0,0,,752,True,False,en
2993:2,rater_12,1,1,1498:1,1363,True,False,en
2993:2,rater_12,3,3,1498:1|754:1|6970:2,2742,True,False,en
2993:2,rater_12,5,5,1498:1|754:1|6970:2|5872:1|7750:2,3522,True,False,en
2993:2,rater_12,7,7,1498:1|754:1|6970:2|5872:1|7750:2|6432:2|7282:2,4494,True,False,en
3076:1,rater_18,0,0,,632,True,False,en
3076:1,rater_18,1,1,1564:1,1091,True,False,en
3076:1,rater_18,3,3,1564:1|7217:1|4147:2,2228,True,False,en
3076:1,rater_18,5,5,1564:1|7217:1|4147:2|7070:1|1019:1,3370,True,False,en
3076:1,rater_18,7,7,1564:1|7217:1|4147:2|7070:1|1019:1|7450:2|5696:1,4056,True,False,en
3088:1,rater_18,0,0,,1030,True,False,en
3088:1,rater_18,1,1,450:2,1545,True,False,en
3088:1,rater_18,3,3,450:2|5760:1|5648:1,2210,True,False,en
3088:1,rater_18,5,5,450:2|5760:1|5648:1|7081:1|4113:2,3064,True,False,en
3088:1,rater_18,7,7,450:2|5760:1|5648:1|7081:1|4113:2|5828:1|590:1,3883,True,False,en
3204:1,rater_13,0,0,,699,True,False,en
3204:1,rater_13,1,1,6895:1,1205,True,False,en
3204:1,rater_13,3,3,6895:1|4426:2|1425:2,2321,True,False,en
3204:1,rater_13,5,5,6895:1|4426:2|1425:2|6729:2|7146:2,3985,True,False,en
3204:1,rater_13,7,7,6895:1|4426:2|1425:2|6729:2|7146:2|6976:2|6902:1,5192,True,False,en
3252:1,rater_23,0,0,,682,True,False,en
3252:1,rater_23,1,1,5310:2,1225,True,False,en
3252:1,rater_23,3,3,5310:2|1629:2|4295:1,2830,True,False,en
3252:1,rater_23,5,5,5310:2|1629:2|4295:1|4306:1|8625:2,3445,True,False,en
3252:1,rater_23,7,7,5310:2|1629:2|4295:1|4306:1|8625:2|8632:2|7620:1,5019,True,False,en
3282:1,rater_1,0,0,,825,True,False,en
3282:1,rater_1,1,1,6469:1,1905,True,False,en
3282:1,rater_1,3,3,6469:1|8045:2|6514:1,3546,True,False,en
3282:1,rater_1,5,5,6469:1|8045:2|6514:1|7881:2|6253:2,4144,True,False,en
3282:1,rater_1,7,7,6469:1|8045:2|6514:1|7881:2|6253:2|3465:1|943:1,5423,True,False,en
3346:1,rater_23,0,0,,1594,True,False,en
3346:1,rater_23,1,1,3984:1,2134,True,False,en
3346:1,rater_23,3,3,3984:1|4251:1|7667:1,3378,True,False,en
3346:1,rater_23,5,5,3984:1|4251:1|7667:1|2345:1|1400:1,4252,True,False,en
3346:1,rater_23,7,7,3984:1|4251:1|7667:1|2345:1|1400:1|4288:1|808:1,4986,True,False,en
3372:1,rater_12,0,0,,769,True,False,en
3372:1,rater_12,1,1,619:1,1123,True,False,en
3372:1,rater_12,3,3,619:1|1480:1|5750:2,2874,True,False,en
3372:1,rater_12,5,5,619:1|1480:1|5750:2|1412:1|1219:2,3929,True,False,en
3372:1,rater_12,7,7,619:1|1480:1|5750:2|1412:1|1219:2|5743:2|2898:1,4891,True,False,en
3385:1,rater_12,0,0,,882,True,False,en
3385:1,rater_12,1,1,1631:2,1280,True,False,en
3385:1,rater_12,3,3,1631:2|1415:1|7084:2,3107,True,False,en
3385:1,rater_12,5,5,1631:2|1415:1|7084:2|6957:2|7276:2,4551,True,False,en
3385:1,rater_12,7,7,1631:2|1415:1|7084:2|6957:2|7276:2|7105:2|7071:2,5696,True,False,en
3473:1,rater_8,0,0,,709,True,False,en
3473:1,rater_8,1,1,3498:1,999,True,False,en
3473:1,rater_8,3,3,3498:1|3547:1|2656:1,1796,True,False,en
3473:1,rater_8,5,5,3498:1|3547:1|2656:1|3900:1|1335:1,3331,True,False,en
3473:1,rater_8,7,7,3498:1|3547:1|2656:1|3900:1|1335:1|359:1|3904:1,4226,True,False,en
3650:1,rater_7,0,0,,814,True,False,en
3650:1,rater_7,1,1,6379:1,1478,True,False,en
3650:1,rater_7,3,3,6379:1|8604:1|418:2,2415,True,False,en
3650:1,rater_7,5,5,6379:1|8604:1|418:2|4888:1|8655:1,3392,True,False,en
3650:1,rater_7,7,7,6379:1|8604:1|418:2|4888:1|8655:1|731:2|864:2,4488,True,False,en
3718:2,rater_2,0,0,,634,True,False,en
3718:2,rater_2,1,1,3456:2,1436,True,False,en
3718:2,rater_2,3,3,3456:2|6574:2|6566:2,2345,True,False,en
3718:2,rater_2,5,5,3456:2|6574:2|6566:2|6597:2|6591:2,3293,True,False,en
3718:2,rater_2,7,7,3456:2|6574:2|6566:2|6597:2|6591:2|3020:2|872:2,4859,True,False,en
3800:1,rater_8,0,0,,600,True,False,en
3800:1,rater_8,1,1,3458:1,1522,True,False,en
3800:1,rater_8,3,3,3458:1|3474:1|3889:1,2667,True,False,en
3800:1,rater_8,5,5,3458:1|3474:1|3889:1|3511:1|1348:1,3761,True,False,en
3800:1,rater_8,7,7,3458:1|3474:1|3889:1|3511:1|1348:1|3890:1|3469:1,4994,True,False,en
3872:2,rater_11,0,0,,542,True,False,en
3872:2,rater_11,1,1,4830:2,1193,True,False,en
3872:2,rater_11,3,3,4830:2|4800:2|5603:2,2447,True,False,en
3872:2,rater_11,5,5,4830:2|4800:2|5603:2|8419:2|3850:2,3199,True,False,en
3872:2,rater_11,7,7,4830:2|4800:2|5603:2|8419:2|3850:2|5956:2|2209:2,4029,True,False,en
4224:2,rater_10,0,0,,545,True,False,en
4224:2,rater_10,1,1,4540:1,1116,True,False,en
4224:2,rater_10,3,3,4540:1|4255:2|6679:1,2366,True,False,en
4224:2,rater_10,5,5,4540:1|4255:2|6679:1|2939:2|3977:2,3325,True,False,en
4224:2,rater_10,7,7,4540:1|4255:2|6679:1|2939:2|3977:2|4229:2|440:2,3991,True,False,en
422:2,rater_18,0,0,,504,True,False,en
422:2,rater_18,1,1,1577:1,1309,True,False,en
422:2,rater_18,3,3,1577:1|3137:1|7185:1,2076,True,False,en
422:2,rater_18,5,5,1577:1|3137:1|7185:1|5787:1|1505:1,3345,True,False,en
422:2,rater_18,7,7,1577:1|3137:1|7185:1|5787:1|1505:1|5614:1|1539:1,4212,True,False,en
4279:2,rater_10,0,0,,508,True,False,en
4279:2,rater_10,1,1,4552:1,832,True,False,en
4279:2,rater_10,3,3,4552:1|4548:1|5356:2,1906,True,False,en
4279:2,rater_10,5,5,4552:1|4548:1|5356:2|4230:2|7612:2,3240,True,False,en
4279:2,rater_10,7,7,4552:1|4548:1|5356:2|4230:2|7612:2|4218:2|2766:2,4417,True,False,en
4283:1,rater_23,0,0,,859,True,False,en
4283:1,rater_23,1,1,7686:1,1497,True,False,en
4283:1,rater_23,3,3,7686:1|7631:1|4701:1,2723,True,False,en
4283:1,rater_23,5,5,7686:1|7631:1|4701:1|1440:2|6484:2,3675,True,False,en
4283:1,rater_23,7,7,7686:1|7631:1|4701:1|1440:2|6484:2|8617:2|4668:1,4593,True,False,en
4387:2,rater_13,0,0,,684,True,False,en
4387:2,rater_13,1,1,3371:2,987,True,False,en
4387:2,rater_13,3,3,3371:2|530:2|5717:2,2219,True,False,en
4387:2,rater_13,5,5,3371:2|530:2|5717:2|3218:1|4499:2,3290,True,False,en
4387:2,rater_13,7,7,3371:2|530:2|5717:2|3218:1|4499:2|1426:2|1484:2,4819,True,False,en
4430:2,rater_2,0,0,,427,True,False,en
4430:2,rater_2,1,1,33:2,623,True,False,en
4430:2,rater_2,3,3,33:2|3541:2|2787:2,2074,True,False,en
4430:2,rater_2,5,5,33:2|3541:2|2787:2|5246:2|5303:2,3006,True,False,en
4430:2,rater_2,7,7,33:2|3541:2|2787:2|5246:2|5303:2|3432:2|3730:2,4224,True,False,en
4565:1,rater_10,0,0,,434,True,False,en
4565:1,rater_10,1,1,4537:1,678,True,False,en
4565:1,rater_10,3,3,4537:1|3985:2|2212:1,1678,True,False,en
4565:1,rater_10,5,5,4537:1|3985:2|2212:1|4275:2|3433:1,3003,True,False,en
4565:1,rater_10,7,7,4537:1|3985:2|2212:1|4275:2|3433:1|8367:2|7602:2,4420,True,False,en
4576:2,rater_11,0,0,,846,True,False,en
4576:2,rater_11,1,1,3804:2,1253,True,False,en
4576:2,rater_11,3,3,3804:2|5265:2|5213:2,2061,True,False,en
4576:2,rater_11,5,5,3804:2|5265:2|5213:2|1378:2|5991:2,2928,True,False,en
4576:2,rater_11,7,7,3804:2|5265:2|5213:2|1378:2|5991:2|5499:2|1356:2,4142,True,False,en
4701:1,rater_23,0,0,,661,True,False,en
4701:1,rater_23,1,1,1470:2,1069,True,False,en
4701:1,rater_23,3,3,1470:2|4300:1|790:1,1921,True,False,en
4701:1,rater_23,5,5,1470:2|4300:1|790:1|2294:1|2309:1,2610,True,False,en
4701:1,rater_23,7,7,1470:2|4300:1|790:1|2294:1|2309:1|7683:1|7606:1,3286,True,False,en
4718:2,rater_10,0,0,,709,True,False,en
4718:2,rater_10,1,1,4688:2,1113,True,False,en
4718:2,rater_10,3,3,4688:2|3960:2|7574:2,1965,True,False,en
4718:2,rater_10,5,5,4688:2|3960:2|7574:2|4575:1|4706:2,2975,True,False,en
4718:2,rater_10,7,7,4688:2|3960:2|7574:2|4575:1|4706:2|6674:1|7553:2,3706,True,False,en
475:2,rater_7,0,0,,757,True,False,en
475:2,rater_7,1,1,904:2,1717,True,False,en
475:2,rater_7,3,3,904:2|7849:2|2707:1,2357,True,False,en
475:2,rater_7,5,5,904:2|7849:2|2707:1|2398:1|5165:1,3489,True,False,en
475:2,rater_7,7,7,904:2|7849:2|2707:1|2398:1|5165:1|877:1|8711:1,4898,True,False,en
4825:2,rater_11,0,0,,731,True,False,en
4825:2,rater_11,1,1,6004:2,1825,True,False,en
4825:2,rater_11,3,3,6004:2|3800:2|3825:2,2555,True,False,en
4825:2,rater_11,5,5,6004:2|3800:2|3825:2|3011:2|2647:2,3537,True,False,en
4825:2,rater_11,7,7,6004:2|3800:2|3825:2|3011:2|2647:2|2497:2|5258:2,4669,True,False,en
4848:1,rater_10,0,0,,669,True,False,en
4848:1,rater_10,1,1,4248:2,955,True,False,en
4848:1,rater_10,3,3,4248:2|821:1|353:2,2555,True,False,en
4848:1,rater_10,5,5,4248:2|821:1|353:2|4266:2|4966:2,3609,True,False,en
4848:1,rater_10,7,7,4248:2|821:1|353:2|4266:2|4966:2|3977:2|2655:2,4708,True,False,en
4869:1,rater_18,0,0,,911,True,False,en
4869:1,rater_18,1,1,7093:1,1260,True,False,en
4869:1,rater_18,3,3,7093:1|4917:1|4216:2,2207,True,False,en
4869:1,rater_18,5,5,7093:1|4917:1|4216:2|5680:1|4213:2,3068,True,False,en
4869:1,rater_18,7,7,7093:1|4917:1|4216:2|5680:1|4213:2|4880:1|2025:1,3801,True,False,en
5213:2,rater_11,0,0,,497,True,False,en
5213:2,rater_11,1,1,1137:2,885,True,False,en
5213:2,rater_11,3,3,1137:2|5962:2|4639:2,2421,True,False,en
5213:2,rater_11,5,5,1137:2|5962:2|4639:2|6640:2|6000:2,3369,True,False,en
5213:2,rater_11,7,7,1137:2|5962:2|4639:2|6640:2|6000:2|6664:2|5407:2,4341,True,False,en
5293:1,rater_7,0,0,,690,True,False,en
5293:1,rater_7,1,1,8446:1,1024,True,False,en
5293:1,rater_7,3,3,8446:1|8361:1|8402:1,2731,True,False,en
5293:1,rater_7,5,5,8446:1|8361:1|8402:1|8691:1|3952:1,4195,True,False,en
5293:1,rater_7,7,7,8446:1|8361:1|8402:1|8691:1|3952:1|5199:1|8634:1,5388,True,False,en
5374:1,rater_15,0,0,,1280,True,False,en
5374:1,rater_15,1,1,7308:2,1609,True,False,en
5374:1,rater_15,3,3,7308:2|6957:1|1946:1,2866,True,False,en
5374:1,rater_15,5,5,7308:2|6957:1|1946:1|7027:1|6296:2,3732,True,False,en
5374:1,rater_15,7,7,7308:2|6957:1|1946:1|7027:1|6296:2|7185:2|1600:2,4449,True,False,en
542:2,rater_7,0,0,,450,True,False,en
542:2,rater_7,1,1,1624:1,943,True,False,en
542:2,rater_7,3,3,1624:1|6240:1|8716:1,2080,True,False,en
542:2,rater_7,5,5,1624:1|6240:1|8716:1|8632:1|8487:1,3876,True,False,en
542:2,rater_7,7,7,1624:1|6240:1|8716:1|8632:1|8487:1|8726:1|2556:1,5595,True,False,en
5498:1,rater_1,0,0,,735,True,False,en
5498:1,rater_1,1,1,3586:2,1180,True,False,en
5498:1,rater_1,3,3,3586:2|6539:1|3653:2,2735,True,False,en
5498:1,rater_1,5,5,3586:2|6539:1|3653:2|3674:2|8039:2,3904,True,False,en
5498:1,rater_1,7,7,3586:2|6539:1|3653:2|3674:2|8039:2|123:2|3910:1,5001,True,False,en
5577:2,rater_2,0,0,,847,True,False,en
5577:2,rater_2,1,1,6430:1,1202,True,False,en
5577:2,rater_2,3,3,6430:1|2287:2|6606:2,2895,True,False,en
5577:2,rater_2,5,5,6430:1|2287:2|6606:2|8204:2|6518:2,4747,True,False,en
5577:2,rater_2,7,7,6430:1|2287:2|6606:2|8204:2|6518:2|2121:2|7496:1,5476,True,False,en
5680:1,rater_18,0,0,,607,True,False,en
5680:1,rater_18,1,1,5743:1,1263,True,False,en
5680:1,rater_18,3,3,5743:1|572:1|7200:1,2204,True,False,en
5680:1,rater_18,5,5,5743:1|572:1|7200:1|6446:1|3089:1,3131,True,False,en
5680:1,rater_18,7,7,5743:1|572:1|7200:1|6446:1|3089:1|609:1|4192:2,4172,True,False,en
5715:1,rater_1,0,0,,934,True,False,en
5715:1,rater_1,1,1,8051:2,1224,True,False,en
5715:1,rater_1,3,3,8051:2|3730:1|3467:1,2421,True,False,en
5715:1,rater_1,5,5,8051:2|3730:1|3467:1|8087:2|3657:2,3857,True,False,en
5715:1,rater_1,7,7,8051:2|3730:1|3467:1|8087:2|3657:2|3785:2|6364:2,4566,True,False,en
5724:1,rater_18,0,0,,895,True,False,en
5724:1,rater_18,1,1,3093:1,1436,True,False,en
5724:1,rater_18,3,3,3093:1|4149:2|4114:2,2224,True,False,en
5724:1,rater_18,5,5,3093:1|4149:2|4114:2|5805:1|4930:1,3291,True,False,en
5724:1,rater_18,7,7,3093:1|4149:2|4114:2|5805:1|4930:1|5834:1|1590:1,4226,True,False,en
5726:2,rater_13,0,0,,604,True,False,en
5726:2,rater_13,1,1,1115:2,1307,True,False,en
5726:2,rater_13,3,3,1115:2|5899:2|6735:2,1872,True,False,en
5726:2,rater_13,5,5,1115:2|5899:2|6735:2|6784:2|6868:1,2788,True,False,en
5726:2,rater_13,7,7,1115:2|5899:2|6735:2|6784:2|6868:1|6888:1|3394:2,3623,True,False,en
5811:1,rater_6,0,0,,1583,True,False,en
5811:1,rater_6,1,1,3664:1,2016,True,False,en
5811:1,rater_6,3,3,3664:1|177:1|7972:1,2579,True,False,en
5811:1,rater_6,5,5,3664:1|177:1|7972:1|8074:1|5263:2,3643,True,False,en
5811:1,rater_6,7,7,3664:1|177:1|7972:1|8074:1|5263:2|8203:1|8301:1,5019,True,False,en
5846:2,rater_13,0,0,,768,True,False,en
5846:2,rater_13,1,1,4482:2,1533,True,False,en
5846:2,rater_13,3,3,4482:2|4870:2|6765:2,2889,True,False,en
5846:2,rater_13,5,5,4482:2|4870:2|6765:2|526:2|3371:2,3952,True,False,en
5846:2,rater_13,7,7,4482:2|4870:2|6765:2|526:2|3371:2|5708:2|6995:2,5098,True,False,en
5854:2,rater_13,0,0,,737,True,False,en
5854:2,rater_13,1,1,4369:2,1185,True,False,en
5854:2,rater_13,3,3,4369:2|1103:2|4885:2,2163,True,False,en
5854:2,rater_13,5,5,4369:2|1103:2|4885:2|3230:1|3342:2,3105,True,False,en
5854:2,rater_13,7,7,4369:2|1103:2|4885:2|3230:1|3342:2|4884:2|4855:2,4324,True,False,en
5965:1,rater_21,0,0,,621,True,False,en
5965:1,rater_21,1,1,8605:2,1765,True,False,en
5965:1,rater_21,3,3,8605:2|2363:1|8587:2,2626,True,False,en
5965:1,rater_21,5,5,8605:2|2363:1|8587:2|775:1|8600:2,3519,True,False,en
5965:1,rater_21,7,7,8605:2|2363:1|8587:2|775:1|8600:2|852:1|2383:1,4436,True,False,en
6007:2,rater_11,0,0,,876,True,False,en
6007:2,rater_11,1,1,3890:2,1514,True,False,en
6007:2,rater_11,3,3,3890:2|8853:2|2553:2,2525,True,False,en
6007:2,rater_11,5,5,3890:2|8853:2|2553:2|5243:2|5928:2,3897,True,False,en
6007:2,rater_11,7,7,3890:2|8853:2|2553:2|5243:2|5928:2|5203:2|3809:2,5175,True,False,en
6121:2,rater_15,0,0,,810,True,False,en
6121:2,rater_15,1,1,5300:1,1297,True,False,en
6121:2,rater_15,3,3,5300:1|7287:2|2965:1,2819,True,False,en
6121:2,rater_15,5,5,5300:1|7287:2|2965:1|1969:1|1052:2,3826,True,False,en
6121:2,rater_15,7,7,5300:1|7287:2|2965:1|1969:1|1052:2|4405:1|6076:2,5086,True,False,en
6215:2,rater_12,0,0,,732,True,False,en
6215:2,rater_12,1,1,2931:1,1327,True,False,en
6215:2,rater_12,3,3,2931:1|2974:2|5373:2,2612,True,False,en
6215:2,rater_12,5,5,2931:1|2974:2|5373:2|541:1|6963:2,3710,True,False,en
6215:2,rater_12,7,7,2931:1|2974:2|5373:2|541:1|6963:2|3338:1|7126:2,5085,True,False,en
6298:2,rater_15,0,0,,1330,True,False,en
6298:2,rater_15,1,1,6083:2,1793,True,False,en
6298:2,rater_15,3,3,6083:2|4322:1|7161:2,2747,True,False,en
6298:2,rater_15,5,5,6083:2|4322:1|7161:2|4365:1|2798:2,3799,True,False,en
6298:2,rater_15,7,7,6083:2|4322:1|7161:2|4365:1|2798:2|415:1|2982:1,4456,True,False,en
6343:1,rater_21,0,0,,798,True,False,en
6343:1,rater_21,1,1,6360:1,1215,True,False,en
6343:1,rater_21,3,3,6360:1|6009:1|1978:2,2569,True,False,en
6343:1,rater_21,5,5,6360:1|6009:1|1978:2|2105:2|7544:1,3472,True,False,en
6343:1,rater_21,7,7,6360:1|6009:1|1978:2|2105:2|7544:1|759:1|7519:1,4327,True,False,en
6362:1,rater_21,0,0,,1499,True,False,en
6362:1,rater_21,1,1,1106:1,2726,True,False,en
6362:1,rater_21,3,3,1106:1|1839:2|8598:2,3997,True,False,en
6362:1,rater_21,5,5,1106:1|1839:2|8598:2|5938:1|363:2,5315,True,False,en
6362:1,rater_21,7,7,1106:1|1839:2|8598:2|5938:1|363:2|6351:1|8588:2,7175,True,False,en
6674:2,rater_11,0,0,,636,True,False,en
6674:2,rater_11,1,1,2500:2,1556,True,False,en
6674:2,rater_11,3,3,2500:2|4536:2|5410:2,2438,True,False,en
6674:2,rater_11,5,5,2500:2|4536:2|5410:2|5138:2|2572:2,3395,True,False,en
6674:2,rater_11,7,7,2500:2|4536:2|5410:2|5138:2|2572:2|5225:2|2748:2,5258,True,False,en
6685:1,rater_10,0,0,,609,True,False,en
6685:1,rater_10,1,1,517:2,1089,True,False,en
6685:1,rater_10,3,3,517:2|8394:2|4255:2,2774,True,False,en
6685:1,rater_10,5,5,517:2|8394:2|4255:2|3011:1|4231:2,3677,True,False,en
6685:1,rater_10,7,7,517:2|8394:2|4255:2|3011:1|4231:2|6684:1|3984:2,4574,True,False,en
6829:1,rater_12,0,0,,766,True,False,en
