target_id,target_rater,correct_history_rater,wrong_history_rater,correct_history_id_1,correct_history_id_2,correct_history_id_3,wrong_history_id_1,wrong_history_id_2,wrong_history_id_3
5715:1,rater_1,rater_1,rater_7,8051:2,3730:1,3467:1,8599:1,2047:1,1527:1
5724:1,rater_18,rater_18,rater_6,3093:1,4149:2,4114:2,5582:1,5180:2,4226:1
5726:2,rater_13,rater_13,rater_20,1115:2,5899:2,6735:2,7491:2,975:2,7483:2
5811:1,rater_6,rater_6,rater_13,3664:1,177:1,7972:1,4858:2,1136:2,6790:2
5846:2,rater_13,rater_13,rater_9,4482:2,4870:2,6765:2,264:2,8739:2,5111:1
5854:2,rater_13,rater_13,rater_9,4369:2,1103:2,4885:2,1275:1,4799:1,8791:2
5965:1,rater_21,rater_21,rater_20,8605:2,2363:1,8587:2,972:2,960:2,977:2
6007:2,rater_11,rater_11,rater_16,3890:2,8853:2,2553:2,3199:2,2753:2,448:2
6121:2,rater_15,rater_15,rater_18,5300:1,7287:2,2965:1,593:1,5672:1,5707:1
6215:2,rater_12,rater_12,rater_20,2931:1,2974:2,5373:2,7051:2,414:1,974:2
6298:2,rater_15,rater_15,rater_17,6083:2,4322:1,7161:2,2780:2,7423:2,2785:2
6343:1,rater_21,rater_21,rater_12,6360:1,6009:1,1978:2,6228:2,5912:1,3307:1
6362:1,rater_21,rater_21,rater_13,1106:1,1839:2,8598:2,6925:1,4478:2,4357:2
6674:2,rater_11,rater_11,rater_20,2500:2,4536:2,5410:2,973:2,956:2,470:2
6685:1,rater_10,rater_10,rater_3,517:2,8394:2,4255:2,6070:1,6126:2,7836:2
6829:1,rater_12,rater_12,rater_20,2975:2,7089:2,5763:2,7491:2,970:2,941:2
6856:1,rater_13,rater_13,rater_12,6921:1,1097:2,4923:2,5362:2,5901:1,3302:1
6955:2,rater_12,rater_12,rater_20,6209:2,1183:2,3041:2,981:2,7485:2,388:2
7013:1,rater_15,rater_15,rater_13,6069:2,4313:1,5274:1,1104:2,4369:2,1426:2
704:2,rater_2,rater_2,rater_5,7507:1,2885:2,6558:2,8346:2,8344:2,7889:1
716:1,rater_18,rater_18,rater_6,5677:1,4890:1,5654:1,3720:1,2135:1,3633:1
7183:2,rater_15,rater_15,rater_4,4314:1,1568:2,4498:1,2651:1,8696:2,77:1
7237:2,rater_27,rater_27,rater_24,7734:2,4717:2,1763:2,7023:2,4616:1,4623:1
7433:1,rater_19,rater_19,rater_6,325:1,6110:1,2816:1,8124:1,8158:1,5573:1
7584:2,rater_10,rater_10,rater_19,2177:1,4665:2,8397:2,460:1,7407:1,936:1
7601:2,rater_10,rater_10,rater_24,2567:1,440:2,387:2,605:2,602:2,621:2
7630:2,rater_10,rater_10,rater_24,4545:1,4229:2,7569:2,6830:2,4598:1,6835:2
7793:1,rater_3,rater_3,rater_27,151:2,7846:2,5811:2,6865:2,1794:2,7976:2
7907:2,rater_6,rater_6,rater_10,8319:1,8024:1,3621:1,7601:2,843:1,4693:2
8005:1,rater_6,rater_6,rater_10,3558:1,8305:1,8097:1,5356:2,3914:1,3954:2
8079:2,rater_1,rater_1,rater_19,12:1,121:2,41:1,7384:1,7486:1,2705:1
8197:2,rater_2,rater_2,rater_1,189:2,8568:2,2121:2,5505:1,3770:2,6247:2
8415:1,rater_7,rater_7,rater_5,875:1,240:1,501:2,164:2,122:1,7882:1
8443:2,rater_2,rater_2,rater_9,8454:2,744:1,38:2,5445:1,5462:1,2516:1
8521:2,rater_2,rater_2,rater_3,7658:2,7811:2,6348:2,8314:2,57:2,6288:2
8580:2,rater_21,rater_21,rater_27,6001:1,1945:2,1760:2,6899:2,4461:2,3264:2
8632:2,rater_23,rater_23,rater_21,1395:1,7652:1,7612:1,5961:2,1365:1,775:1
8656:1,rater_7,rater_7,rater_8,2125:1,1957:1,436:2,3524:1,2644:1,8749:1
8656:2,rater_4,rater_4,rater_15,7812:1,1514:2,3156:1,6957:1,4418:1,2847:2
8669:1,rater_7,rater_7,rater_23,6269:1,8480:1,8573:1,2312:1,1255:1,8630:2
8771:2,rater_11,rater_11,rater_15,828:2,5435:2,8755:2,6321:2,633:2,6057:2
8877:1,rater_9,rater_9,rater_7,5432:1,3459:2,5056:1,8492:1,3710:1,8651:1
894:1,rater_19,rater_19,rater_7,6071:1,7440:1,6115:1,8534:1,8725:1,1685:1
