rater_id,trait,count,mean,rater_six_trait_mean,relative_trait_tendency
rater_17,Vocabulary,119,3.4201680672268906,3.380952380952381,0.039215686274509665
rater_17,Phraseology,119,3.436974789915966,3.380952380952381,0.056022408963585235
rater_17,Grammar,119,3.2941176470588234,3.380952380952381,-0.08683473389355756
rater_17,Conventions,119,3.73109243697479,3.380952380952381,0.35014005602240905
rater_18,Cohesion,1060,3.1358490566037736,3.1632075471698116,-0.027358490566038007
rater_18,Syntax,1060,3.0679245283018868,3.1632075471698116,-0.09528301886792478
rater_18,Vocabulary,1060,3.297169811320755,3.1632075471698116,0.13396226415094326
rater_18,Phraseology,1060,3.042452830188679,3.1632075471698116,-0.12075471698113249
rater_18,Grammar,1060,3.1971698113207547,3.1632075471698116,0.03396226415094317
rater_18,Conventions,1060,3.2386792452830186,3.1632075471698116,0.07547169811320709
rater_19,Cohesion,1041,3.5110470701248797,3.4317963496637844,0.07925072046109527
rater_19,Syntax,1041,3.5283381364073008,3.4317963496637844,0.09654178674351632
rater_19,Vocabulary,1041,3.33909702209414,3.4317963496637844,-0.09269932756964439
rater_19,Phraseology,1041,3.2718539865513927,3.4317963496637844,-0.15994236311239174
rater_19,Grammar,1041,3.6071085494716617,3.4317963496637844,0.17531219980787727
rater_19,Conventions,1041,3.3333333333333335,3.4317963496637844,-0.09846301633045096
rater_2,Cohesion,1602,3.17478152309613,3.1058052434456926,0.06897627965043718
rater_2,Syntax,1602,2.921972534332085,3.1058052434456926,-0.1838327091136076
rater_2,Vocabulary,1602,3.3670411985018727,3.1058052434456926,0.26123595505618
rater_2,Phraseology,1602,3.0830212234706615,3.1058052434456926,-0.0227840199750311
rater_2,Grammar,1602,3.1729088639201,3.1058052434456926,0.06710362047440732
rater_2,Conventions,1602,2.915106117353308,3.1058052434456926,-0.19069912609238449
rater_20,Cohesion,75,2.96,3.0066666666666664,-0.04666666666666641
rater_20,Syntax,75,3.0,3.0066666666666664,-0.0066666666666663765
rater_20,Vocabulary,75,2.973333333333333,3.0066666666666664,-0.033333333333333215
rater_20,Phraseology,75,2.8533333333333335,3.0066666666666664,-0.15333333333333288
rater_20,Grammar,75,2.973333333333333,3.0066666666666664,-0.033333333333333215
rater_20,Conventions,75,3.28,3.0066666666666664,0.27333333333333343
rater_21,Cohesion,358,2.793296089385475,2.999068901303538,-0.20577281191806307
rater_21,Syntax,358,2.9441340782122905,2.999068901303538,-0.05493482309124742
rater_21,Vocabulary,358,3.410614525139665,2.999068901303538,0.41154562383612703
rater_21,Phraseology,358,3.083798882681564,2.999068901303538,0.08472998137802623
rater_21,Grammar,358,2.930167597765363,2.999068901303538,-0.06890130353817492
rater_21,Conventions,358,2.8324022346368714,2.999068901303538,-0.16666666666666652
rater_22,Cohesion,241,3.1659751037344397,3.0214384508990317,0.14453665283540795
rater_22,Syntax,241,2.7302904564315353,3.0214384508990317,-0.2911479944674964
rater_22,Vocabulary,241,3.1825726141078836,3.0214384508990317,0.16113416320885188
rater_22,Phraseology,241,3.0622406639004147,3.0214384508990317,0.04080221300138298
rater_22,Grammar,241,3.016597510373444,3.0214384508990317,-0.004840940525587811
rater_22,Conventions,241,2.970954356846473,3.0214384508990317,-0.050484094052558603
rater_23,Cohesion,774,3.4844961240310077,3.360249784668389,0.12424633936261875
rater_23,Syntax,774,3.1511627906976742,3.360249784668389,-0.20908699397071473
rater_23,Vocabulary,774,3.496124031007752,3.360249784668389,0.13587424633936296
rater_23,Phraseology,774,3.5180878552971575,3.360249784668389,0.15783807062876853
rater_23,Grammar,774,3.25968992248062,3.360249784668389,-0.1005598621877688
rater_23,Conventions,774,3.251937984496124,3.360249784668389,-0.10831180017226494
rater_24,Cohesion,260,2.9384615384615387,3.007051282051282,-0.06858974358974335
rater_24,Syntax,260,3.0,3.007051282051282,-0.007051282051282026
rater_24,Vocabulary,260,3.103846153846154,3.007051282051282,0.0967948717948719
rater_24,Phraseology,260,2.9461538461538463,3.007051282051282,-0.06089743589743568
rater_24,Grammar,260,3.123076923076923,3.007051282051282,0.11602564102564106
rater_24,Conventions,260,2.9307692307692306,3.007051282051282,-0.07628205128205146
rater_25,Cohesion,27,3.074074074074074,3.141975308641975,-0.06790123456790109
rater_25,Syntax,27,3.5185185185185186,3.141975308641975,0.37654320987654355
rater_25,Vocabulary,27,3.1481481481481484,3.141975308641975,0.006172839506173311
rater_25,Phraseology,27,3.2222222222222223,3.141975308641975,0.08024691358024727
rater_25,Grammar,27,3.037037037037037,3.141975308641975,-0.10493827160493785
rater_25,Conventions,27,2.8518518518518516,3.141975308641975,-0.2901234567901234
rater_26,Cohesion,199,3.306532663316583,3.0008375209380236,0.3056951423785592
rater_26,Syntax,199,2.8040201005025125,3.0008375209380236,-0.1968174204355111
rater_26,Vocabulary,199,3.020100502512563,3.0008375209380236,0.019262981574539317
rater_26,Phraseology,199,3.0251256281407035,3.0008375209380236,0.02428810720267993
rater_26,Grammar,199,2.909547738693467,3.0008375209380236,-0.09128978224455642
rater_26,Conventions,199,2.9396984924623117,3.0008375209380236,-0.06113902847571184
rater_27,Cohesion,587,2.856899488926746,3.130891538898353,-0.2739920499716071
rater_27,Syntax,587,3.189097103918228,3.130891538898353,0.05820556501987495
rater_27,Vocabulary,587,2.7853492333901193,3.130891538898353,-0.34554230550823384
rater_27,Phraseology,587,3.0153321976149914,3.130891538898353,-0.11555934128336176
rater_27,Grammar,587,3.425894378194208,3.130891538898353,0.2950028392958548
rater_27,Conventions,587,3.512776831345826,3.130891538898353,0.38188529244747293
rater_3,Cohesion,325,3.144615384615385,3.0866666666666664,0.057948717948718365
rater_3,Syntax,325,2.9384615384615387,3.0866666666666664,-0.14820512820512777
rater_3,Vocabulary,325,3.393846153846154,3.0866666666666664,0.3071794871794875
rater_3,Phraseology,325,2.8461538461538463,3.0866666666666664,-0.2405128205128202
rater_3,Grammar,325,2.8923076923076922,3.0866666666666664,-0.1943589743589742
rater_3,Conventions,325,3.3046153846153845,3.0866666666666664,0.21794871794871806
rater_4,Cohesion,607,3.214168039538715,3.2103239978034046,0.0038440417353102774
rater_4,Syntax,607,2.960461285008237,3.2103239978034046,-0.24986271279516759
rater_4,Vocabulary,607,3.4398682042833606,3.2103239978034046,0.229544206479956
rater_4,Phraseology,607,3.209225700164745,3.2103239978034046,-0.001098297638659762
rater_4,Grammar,607,3.0247116968698515,3.2103239978034046,-0.18561230093355308
rater_4,Conventions,607,3.4135090609555188,3.2103239978034046,0.20318506315211415
rater_5,Cohesion,225,3.4044444444444446,3.3044444444444445,0.10000000000000009
rater_5,Syntax,225,3.2666666666666666,3.3044444444444445,-0.03777777777777791
rater_5,Vocabulary,225,3.1866666666666665,3.3044444444444445,-0.11777777777777798
rater_5,Phraseology,225,3.328888888888889,3.3044444444444445,0.02444444444444427
rater_5,Grammar,225,3.2222222222222223,3.3044444444444445,-0.0822222222222222
rater_5,Conventions,225,3.417777777777778,3.3044444444444445,0.11333333333333329
rater_6,Cohesion,1336,3.2395209580838324,3.1684131736526946,0.07110778443113785
rater_6,Syntax,1336,3.031437125748503,3.1684131736526946,-0.1369760479041915
rater_6,Vocabulary,1336,3.2612275449101795,3.1684131736526946,0.09281437125748493
rater_6,Phraseology,1336,3.0411676646706587,3.1684131736526946,-0.1272455089820359
rater_6,Grammar,1336,3.1414670658682633,3.1684131736526946,-0.026946107784431295
rater_6,Conventions,1336,3.2956586826347305,3.1684131736526946,0.1272455089820359
rater_7,Cohesion,1211,2.8497109826589595,2.9946325350949627,-0.14492155243600324
rater_7,Syntax,1211,2.962840627580512,2.9946325350949627,-0.03179190751445082
rater_7,Vocabulary,1211,3.2419488026424443,2.9946325350949627,0.2473162675474816
rater_7,Phraseology,1211,2.787778695293146,2.9946325350949627,-0.2068538398018167
rater_7,Grammar,1211,3.028075970272502,2.9946325350949627,0.03344343517753945
rater_7,Conventions,1211,3.097440132122213,2.9946325350949627,0.10280759702725017
rater_8,Cohesion,359,2.9916434540389973,2.976323119777159,0.015320334261838209
rater_8,Syntax,359,2.863509749303621,2.976323119777159,-0.11281337047353812
rater_8,Vocabulary,359,3.15041782729805,2.976323119777159,0.17409470752089096
rater_8,Phraseology,359,2.997214484679666,2.976323119777159,0.02089136490250665
rater_8,Grammar,359,2.988857938718663,2.976323119777159,0.012534818941503989
rater_8,Conventions,359,2.8662952646239552,2.976323119777159,-0.1100278551532039
rater_9,Cohesion,745,2.865771812080537,2.777404921700224,0.0883668903803132
rater_9,Syntax,745,2.6926174496644295,2.777404921700224,-0.0847874720357944
rater_9,Vocabulary,745,3.065771812080537,2.777404921700224,0.28836689038031293
rater_9,Phraseology,745,2.825503355704698,2.777404921700224,0.04809843400447411
rater_9,Grammar,745,2.6523489932885904,2.777404921700224,-0.1250559284116335
rater_9,Conventions,745,2.56241610738255,2.777404921700224,-0.2149888143176737
