rater_id,trait,count,mean
rater_19,Phraseology,1041,3.2718539865513927
rater_19,Grammar,1041,3.6071085494716617
rater_19,Conventions,1041,3.3333333333333335
rater_2,Cohesion,1602,3.17478152309613
rater_2,Syntax,1602,2.921972534332085
rater_2,Vocabulary,1602,3.3670411985018727
rater_2,Phraseology,1602,3.0830212234706615
rater_2,Grammar,1602,3.1729088639201
rater_2,Conventions,1602,2.915106117353308
rater_20,Cohesion,75,2.96
rater_20,Syntax,75,3.0
rater_20,Vocabulary,75,2.973333333333333
rater_20,Phraseology,75,2.8533333333333335
rater_20,Grammar,75,2.973333333333333
rater_20,Conventions,75,3.28
rater_21,Cohesion,358,2.793296089385475
rater_21,Syntax,358,2.9441340782122905
rater_21,Vocabulary,358,3.410614525139665
rater_21,Phraseology,358,3.083798882681564
rater_21,Grammar,358,2.930167597765363
rater_21,Conventions,358,2.8324022346368714
rater_22,Cohesion,241,3.1659751037344397
rater_22,Syntax,241,2.7302904564315353
rater_22,Vocabulary,241,3.1825726141078836
rater_22,Phraseology,241,3.0622406639004147
rater_22,Grammar,241,3.016597510373444
rater_22,Conventions,241,2.970954356846473
rater_23,Cohesion,774,3.4844961240310077
rater_23,Syntax,774,3.1511627906976742
rater_23,Vocabulary,774,3.496124031007752
rater_23,Phraseology,774,3.5180878552971575
rater_23,Grammar,774,3.25968992248062
rater_23,Conventions,774,3.251937984496124
rater_24,Cohesion,260,2.9384615384615387
rater_24,Syntax,260,3.0
rater_24,Vocabulary,260,3.103846153846154
rater_24,Phraseology,260,2.9461538461538463
rater_24,Grammar,260,3.123076923076923
rater_24,Conventions,260,2.9307692307692306
rater_25,Cohesion,27,3.074074074074074
rater_25,Syntax,27,3.5185185185185186
rater_25,Vocabulary,27,3.1481481481481484
rater_25,Phraseology,27,3.2222222222222223
rater_25,Grammar,27,3.037037037037037
rater_25,Conventions,27,2.8518518518518516
rater_26,Cohesion,199,3.306532663316583
rater_26,Syntax,199,2.8040201005025125
rater_26,Vocabulary,199,3.020100502512563
rater_26,Phraseology,199,3.0251256281407035
rater_26,Grammar,199,2.909547738693467
rater_26,Conventions,199,2.9396984924623117
rater_27,Cohesion,587,2.856899488926746
rater_27,Syntax,587,3.189097103918228
rater_27,Vocabulary,587,2.7853492333901193
rater_27,Phraseology,587,3.0153321976149914
rater_27,Grammar,587,3.425894378194208
rater_27,Conventions,587,3.512776831345826
rater_3,Cohesion,325,3.144615384615385
rater_3,Syntax,325,2.9384615384615387
rater_3,Vocabulary,325,3.393846153846154
rater_3,Phraseology,325,2.8461538461538463
rater_3,Grammar,325,2.8923076923076922
rater_3,Conventions,325,3.3046153846153845
rater_4,Cohesion,607,3.214168039538715
rater_4,Syntax,607,2.960461285008237
rater_4,Vocabulary,607,3.4398682042833606
rater_4,Phraseology,607,3.209225700164745
rater_4,Grammar,607,3.0247116968698515
rater_4,Conventions,607,3.4135090609555188
rater_5,Cohesion,225,3.4044444444444446
rater_5,Syntax,225,3.2666666666666666
rater_5,Vocabulary,225,3.1866666666666665
rater_5,Phraseology,225,3.328888888888889
rater_5,Grammar,225,3.2222222222222223
rater_5,Conventions,225,3.417777777777778
rater_6,Cohesion,1336,3.2395209580838324
rater_6,Syntax,1336,3.031437125748503
rater_6,Vocabulary,1336,3.2612275449101795
rater_6,Phraseology,1336,3.0411676646706587
rater_6,Grammar,1336,3.1414670658682633
rater_6,Conventions,1336,3.2956586826347305
rater_7,Cohesion,1211,2.8497109826589595
rater_7,Syntax,1211,2.962840627580512
rater_7,Vocabulary,1211,3.2419488026424443
rater_7,Phraseology,1211,2.787778695293146
rater_7,Grammar,1211,3.028075970272502
rater_7,Conventions,1211,3.097440132122213
rater_8,Cohesion,359,2.9916434540389973
rater_8,Syntax,359,2.863509749303621
rater_8,Vocabulary,359,3.15041782729805
rater_8,Phraseology,359,2.997214484679666
rater_8,Grammar,359,2.988857938718663
rater_8,Conventions,359,2.8662952646239552
rater_9,Cohesion,745,2.865771812080537
rater_9,Syntax,745,2.6926174496644295
rater_9,Vocabulary,745,3.065771812080537
rater_9,Phraseology,745,2.825503355704698
rater_9,Grammar,745,2.6523489932885904
rater_9,Conventions,745,2.56241610738255
