rater_id,score_variable,count,mean,median,std,min,max
rater_14,Phraseology,31,3.032258064516129,3.0,0.5467400947276465,2,4
rater_14,Syntax,31,2.838709677419355,3.0,0.5829107532346262,2,4
rater_14,Vocabulary,31,2.967741935483871,3.0,0.7063460420946633,2,4
rater_15,Cohesion,988,3.5445344129554655,4.0,0.6908289705088999,1,5
rater_15,Conventions,988,3.222672064777328,3.0,0.7880902659105017,1,5
rater_15,Grammar,988,3.0121457489878543,3.0,0.8274998973128835,1,5
rater_15,Overall,988,3.3198380566801617,3.0,0.5702264735114299,1,5
rater_15,Phraseology,988,3.3906882591093117,3.0,0.6423064537514042,1,5
rater_15,Syntax,988,3.374493927125506,3.0,0.5777337962898168,1,5
rater_15,Vocabulary,988,3.1842105263157894,3.0,0.5057658273830451,1,5
rater_16,Cohesion,447,3.3914988814317675,3.0,0.7524067448874374,1,5
rater_16,Conventions,447,3.221476510067114,3.0,0.6976479149515344,1,5
rater_16,Grammar,447,3.0156599552572705,3.0,0.7907684579353611,1,5
rater_16,Overall,447,3.1834451901565997,3.0,0.7441211965620935,1,5
rater_16,Phraseology,447,3.1722595078299776,3.0,0.7422786664072628,1,5
rater_16,Syntax,447,3.140939597315436,3.0,0.8885429264913287,1,5
rater_16,Vocabulary,447,3.3221476510067114,3.0,0.7629461691849998,1,5
rater_17,Cohesion,119,3.1848739495798317,3.0,0.8126790447275931,1,5
rater_17,Conventions,119,3.73109243697479,4.0,0.9360707545291055,1,5
rater_17,Grammar,119,3.2941176470588234,3.0,0.9052852455841656,1,5
rater_17,Overall,119,3.3445378151260505,3.0,0.887168174204085,1,5
rater_17,Phraseology,119,3.436974789915966,4.0,1.0053977664837888,1,5
rater_17,Syntax,119,3.2184873949579833,3.0,0.8748817243601718,1,5
rater_17,Vocabulary,119,3.4201680672268906,3.0,0.9066215767223039,1,5
rater_18,Cohesion,1060,3.1358490566037736,3.0,0.8051051320794784,1,5
rater_18,Conventions,1060,3.2386792452830186,3.0,0.848602779279195,1,5
rater_18,Grammar,1060,3.1971698113207547,3.0,0.9227946987942235,1,5
rater_18,Overall,1060,3.193396226415094,3.0,0.8600644361661489,1,5
rater_18,Phraseology,1060,3.042452830188679,3.0,0.9090301479377801,1,5
rater_18,Syntax,1060,3.0679245283018868,3.0,0.8477651751642152,1,5
rater_18,Vocabulary,1060,3.297169811320755,3.0,0.7950457487587848,1,5
rater_19,Cohesion,1041,3.5110470701248797,4.0,0.6665950785475478,1,5
rater_19,Conventions,1041,3.3333333333333335,3.0,0.7578647467450734,1,5
rater_19,Grammar,1041,3.6071085494716617,4.0,0.728741932752491,1,5
rater_19,Overall,1041,3.456292026897214,3.0,0.6935563917119107,1,5
rater_19,Phraseology,1041,3.2718539865513927,3.0,0.7206202735557562,1,5
rater_19,Syntax,1041,3.5283381364073008,4.0,0.7717450412090475,1,5
rater_19,Vocabulary,1041,3.33909702209414,3.0,0.7666728512018471,1,5
rater_2,Cohesion,1602,3.17478152309613,3.0,0.7135089691465129,1,5
rater_2,Conventions,1602,2.915106117353308,3.0,0.7202151250380491,1,5
rater_2,Grammar,1602,3.1729088639201,3.0,0.8427610865649826,1,5
rater_2,Overall,1602,3.1104868913857677,3.0,0.6495296045589072,1,5
rater_2,Phraseology,1602,3.0830212234706615,3.0,0.8445579092106384,1,5
rater_2,Syntax,1602,2.921972534332085,3.0,0.5573015239767449,1,5
rater_2,Vocabulary,1602,3.3670411985018727,3.0,0.6353031585283039,1,5
rater_20,Cohesion,75,2.96,3.0,0.7432579851117864,1,5
rater_20,Conventions,75,3.28,3.0,0.7454365671709938,2,5
rater_20,Grammar,75,2.973333333333333,3.0,0.9000500486584566,1,5
rater_20,Overall,75,3.026666666666667,3.0,0.6773025459414268,1,5
rater_20,Phraseology,75,2.8533333333333335,3.0,0.6915187620001342,1,5
rater_20,Syntax,75,3.0,3.0,0.677834389404565,1,4
rater_20,Vocabulary,75,2.973333333333333,3.0,0.6145385729615821,2,5
rater_21,Cohesion,358,2.793296089385475,3.0,0.7035402883244063,1,5
rater_21,Conventions,358,2.8324022346368714,3.0,0.709961402821585,1,5
rater_21,Grammar,358,2.930167597765363,3.0,0.7545458684736321,1,5
rater_21,Overall,358,3.025139664804469,3.0,0.746183084856108,1,5
rater_21,Phraseology,358,3.083798882681564,3.0,0.8017593286411914,1,5
rater_21,Syntax,358,2.9441340782122905,3.0,0.7936771873822485,1,5
rater_21,Vocabulary,358,3.410614525139665,3.0,0.6790990588015714,2,5
rater_22,Cohesion,241,3.1659751037344397,3.0,0.7620175956264134,1,5
rater_22,Conventions,241,2.970954356846473,3.0,0.6732900579057208,2,5
rater_22,Grammar,241,3.016597510373444,3.0,0.7301073264667618,1,5
rater_22,Overall,241,3.066390041493776,3.0,0.7098643043336391,1,5
rater_22,Phraseology,241,3.0622406639004147,3.0,0.718987685457517,2,5
rater_22,Syntax,241,2.7302904564315353,3.0,0.7401263396318727,1,5
rater_22,Vocabulary,241,3.1825726141078836,3.0,0.48290270318863193,2,5
rater_23,Cohesion,774,3.4844961240310077,4.0,0.855175215237193,1,5
rater_23,Conventions,774,3.251937984496124,3.0,0.8279341120825244,1,5
rater_23,Grammar,774,3.25968992248062,3.0,0.8638209932530749,1,5
rater_23,Overall,774,3.3410852713178296,3.0,0.8736131040634197,1,5
rater_23,Phraseology,774,3.5180878552971575,4.0,0.8775235426759977,1,5
rater_23,Syntax,774,3.1511627906976742,3.0,0.8180641281937988,1,5
rater_23,Vocabulary,774,3.496124031007752,3.0,0.7809904913618996,1,5
rater_24,Cohesion,260,2.9384615384615387,3.0,0.8406087714407379,1,5
rater_24,Conventions,260,2.9307692307692306,3.0,0.8023946933007744,1,5
rater_24,Grammar,260,3.123076923076923,3.0,0.8566378078443269,1,5
rater_24,Overall,260,3.0384615384615383,3.0,0.8822912095435262,1,5
rater_24,Phraseology,260,2.9461538461538463,3.0,0.7540013053821383,1,5
rater_24,Syntax,260,3.0,3.0,0.7660760973118708,1,5
rater_24,Vocabulary,260,3.103846153846154,3.0,0.7461513966628399,1,5
rater_25,Cohesion,27,3.074074074074074,3.0,0.8286191444865889,2,5
rater_25,Conventions,27,2.8518518518518516,3.0,0.7181013268818793,1,4
rater_25,Grammar,27,3.037037037037037,3.0,0.7586162241203225,2,4
rater_25,Overall,27,3.111111111111111,3.0,0.42365927286816174,2,4
rater_25,Phraseology,27,3.2222222222222223,3.0,0.7510676161988108,2,4
rater_25,Syntax,27,3.5185185185185186,3.0,0.7000203497245563,2,5
rater_25,Vocabulary,27,3.1481481481481484,3.0,0.5337605126836238,2,4
rater_26,Cohesion,199,3.306532663316583,3.0,0.8112264923604983,1,5
rater_26,Conventions,199,2.9396984924623117,3.0,0.8624500627017668,1,5
rater_26,Grammar,199,2.909547738693467,3.0,0.9384380405987602,1,5
rater_26,Overall,199,3.0050251256281406,3.0,0.7752320437054551,1,5
rater_26,Phraseology,199,3.0251256281407035,3.0,0.6391059564202171,1,5
rater_26,Syntax,199,2.8040201005025125,3.0,0.7083797985458568,1,5
rater_26,Vocabulary,199,3.020100502512563,3.0,0.47097362077338534,1,4
rater_27,Cohesion,587,2.856899488926746,3.0,0.7815923593281525,1,5
rater_27,Conventions,587,3.512776831345826,4.0,0.6796081155527031,1,5
rater_27,Grammar,587,3.425894378194208,3.0,0.8068884379406701,1,5
rater_27,Overall,587,3.0255536626916526,3.0,0.6643232783746831,1,5
rater_27,Phraseology,587,3.0153321976149914,3.0,0.7737833235326568,1,5
rater_27,Syntax,587,3.189097103918228,3.0,0.75947959264676,1,5
rater_27,Vocabulary,587,2.7853492333901193,3.0,0.7446670504683054,1,5
rater_3,Cohesion,325,3.144615384615385,3.0,0.8168803139343286,1,5
rater_3,Conventions,325,3.3046153846153845,3.0,0.8330426843566384,1,5
rater_3,Grammar,325,2.8923076923076922,3.0,0.9047726152355364,1,5
rater_3,Overall,325,3.1046153846153848,3.0,0.8059253498405852,1,5
rater_3,Phraseology,325,2.8461538461538463,3.0,0.8754323311266077,1,5
rater_3,Syntax,325,2.9384615384615387,3.0,0.7988595860203708,1,5
rater_3,Vocabulary,325,3.393846153846154,3.0,0.7649491476435096,1,5
rater_4,Cohesion,607,3.214168039538715,3.0,0.7644732810626488,1,5
rater_4,Conventions,607,3.4135090609555188,3.0,0.7280441107707655,2,5
rater_4,Grammar,607,3.0247116968698515,3.0,0.8028716247240588,1,5
rater_4,Overall,607,3.313014827018122,3.0,0.6755112754633682,2,5
rater_4,Phraseology,607,3.209225700164745,3.0,0.7294244035721114,1,5
rater_4,Syntax,607,2.960461285008237,3.0,0.6906388094241697,1,5
rater_4,Vocabulary,607,3.4398682042833606,3.0,0.6391454555062523,1,5
rater_5,Cohesion,225,3.4044444444444446,3.0,0.9214593325737722,1,5
rater_5,Conventions,225,3.417777777777778,3.0,0.9513357359732065,1,5
rater_5,Grammar,225,3.2222222222222223,3.0,0.9794515796226974,1,5
rater_5,Overall,225,3.2755555555555556,3.0,0.8153536578084306,1,5
rater_5,Phraseology,225,3.328888888888889,3.0,0.8905812262982645,1,5
rater_5,Syntax,225,3.2666666666666666,3.0,0.9955257046261682,1,5
rater_5,Vocabulary,225,3.1866666666666665,3.0,0.8664376986917672,1,5
rater_6,Cohesion,1336,3.2395209580838324,3.0,0.8161998788636634,1,5
rater_6,Conventions,1336,3.2956586826347305,3.0,0.7847873923588824,1,5
rater_6,Grammar,1336,3.1414670658682633,3.0,0.861260605812357,1,5
rater_6,Overall,1336,3.157185628742515,3.0,0.7204820577076889,1,5
rater_6,Phraseology,1336,3.0411676646706587,3.0,0.8010927828746605,1,5
rater_6,Syntax,1336,3.031437125748503,3.0,0.8140524423004963,1,5
rater_6,Vocabulary,1336,3.2612275449101795,3.0,0.7240292929836386,1,5
rater_7,Cohesion,1211,2.8497109826589595,3.0,0.8255463499429181,1,5
rater_7,Conventions,1211,3.097440132122213,3.0,0.9510768426731215,1,5
rater_7,Grammar,1211,3.028075970272502,3.0,0.7867946359644463,1,5
rater_7,Overall,1211,3.0957886044591247,3.0,0.7793239928640112,1,5
rater_7,Phraseology,1211,2.787778695293146,3.0,0.7488057294153394,1,5
rater_7,Syntax,1211,2.962840627580512,3.0,0.7963386402475654,1,5
rater_7,Vocabulary,1211,3.2419488026424443,3.0,0.7227752990479506,1,5
rater_8,Cohesion,359,2.9916434540389973,3.0,0.8135976562545497,1,5
rater_8,Conventions,359,2.8662952646239552,3.0,0.7723977264148372,1,5
rater_8,Grammar,359,2.988857938718663,3.0,0.8288705240771972,1,5
rater_8,Overall,359,2.885793871866295,3.0,0.8942984341013263,1,5
rater_8,Phraseology,359,2.997214484679666,3.0,0.8373228395706778,1,5
rater_8,Syntax,359,2.863509749303621,3.0,0.8193061134803339,1,5
rater_8,Vocabulary,359,3.15041782729805,3.0,0.8185650295573715,1,5
rater_9,Cohesion,745,2.865771812080537,3.0,0.6604995474346387,1,5
rater_9,Conventions,745,2.56241610738255,3.0,0.6127538436097182,1,5
rater_9,Grammar,745,2.6523489932885904,3.0,0.6506390461404545,1,5
rater_9,Overall,745,2.6671140939597318,3.0,0.697002313388053,1,5
rater_9,Phraseology,745,2.825503355704698,3.0,0.6733356983632585,1,5
rater_9,Syntax,745,2.6926174496644295,3.0,0.674625937744685,1,5
rater_9,Vocabulary,745,3.065771812080537,3.0,0.6494178340091258,1,5
