Cohesion,Syntax,Vocabulary,Phraseology,Grammar,Conventions,sample_count,unique_overall_count,overall_values,rater_count,essay_count
2,3,3,2,3,2,66,2,2|3,18,66
2,3,3,2,3,3,66,3,2|3|4,18,66
2,3,3,2,3,4,11,2,2|3,5,11
2,3,3,2,4,2,2,2,2|3,2,2
2,3,3,2,4,3,10,2,2|3,6,10
2,3,3,2,4,4,4,2,3|4,3,4
2,3,3,3,2,2,88,2,2|3,16,88
2,3,3,3,2,3,100,2,2|3,20,100
2,3,3,3,2,4,13,2,2|3,8,13
2,3,3,3,3,2,109,2,2|3,16,107
2,3,3,3,3,3,201,2,2|3,23,198
2,3,3,3,3,4,25,3,2|3|4,12,24
2,3,3,3,4,3,32,2,2|3,11,32
2,3,3,3,4,4,18,3,2|3|4,8,18
2,3,3,4,2,3,3,2,2|3,3,3
2,3,3,4,3,3,11,2,2|3,6,11
2,3,3,4,3,4,5,2,3|4,4,5
2,3,3,4,4,3,7,2,3|4,4,7
2,3,4,2,2,3,5,2,2|3,4,5
2,3,4,2,3,2,2,2,2|3,1,2
2,3,4,3,2,2,3,2,2|3,3,3
2,3,4,3,2,3,7,2,2|3,4,7
2,3,4,3,3,2,3,2,2|3,3,3
2,3,4,3,3,3,33,3,2|3|4,7,33
2,3,4,3,3,4,7,2,3|4,4,7
2,3,4,3,4,3,7,2,3|4,3,7
2,3,4,3,4,4,2,2,3|4,2,2
2,3,4,4,3,3,11,2,3|4,8,11
2,3,4,4,3,4,6,2,3|4,4,6
2,3,4,4,4,3,6,2,2|3,6,6
2,4,3,2,3,4,2,2,3|4,1,2
2,4,3,3,3,3,23,3,2|3|4,6,23
2,4,3,3,4,3,8,2,3|4,6,8
2,4,3,4,4,4,2,2,3|4,2,2
2,4,4,3,3,4,2,2,3|4,2,2
2,4,4,4,3,3,3,3,2|3|4,2,3
2,4,4,4,3,4,2,2,3|4,2,2
2,4,4,4,4,4,3,2,3|4,3,3
3,1,3,3,2,2,3,2,2|3,3,3
3,1,3,3,3,2,2,2,2|3,2,2
3,2,2,2,2,2,77,2,2|3,16,76
3,2,2,2,2,3,53,2,2|3,15,53
3,2,2,2,3,2,29,2,2|3,14,29
3,2,2,2,3,3,24,2,2|3,10,24
3,2,2,2,3,4,4,2,2|3,4,4
3,2,2,3,2,2,35,2,2|3,13,34
3,2,2,3,2,3,32,2,2|3,16,32
3,2,2,3,3,2,14,2,2|3,10,14
3,2,2,3,3,3,15,2,2|3,8,15
3,2,2,3,4,2,3,2,2|3,3,3
3,2,2,3,4,3,3,2,2|3,2,3
3,2,3,2,2,2,140,3,1|2|3,21,139
3,2,3,2,2,3,175,2,2|3,19,174
3,2,3,2,2,4,6,2,2|3,5,6
3,2,3,2,3,2,95,2,2|3,17,95
3,2,3,2,3,3,85,3,2|3|4,17,85
3,2,3,2,4,2,4,2,2|3,3,4
3,2,3,3,2,2,190,3,2|3|4,22,188
3,2,3,3,2,3,210,2,2|3,23,210
3,2,3,3,2,4,19,2,2|3,8,19
3,2,3,3,3,2,150,2,2|3,25,149
3,2,3,3,3,3,163,2,2|3,22,160
3,2,3,3,4,3,28,2,3|4,10,28
3,2,3,4,2,3,7,2,2|3,2,7
3,2,3,4,2,4,3,2,2|3,1,3
3,2,3,4,4,3,11,2,3|4,7,11
3,2,4,2,3,2,3,2,2|3,2,3
3,2,4,3,3,2,11,2,2|3,8,11
3,2,4,3,3,3,18,2,3|4,11,17
3,2,4,3,3,4,11,2,3|4,8,11
3,2,4,3,4,4,5,2,3|4,4,5
3,2,4,4,2,3,3,2,2|3,2,3
3,2,4,4,3,3,9,2,3|4,6,9
3,2,4,4,4,4,2,2,3|4,2,2
3,3,2,2,2,2,53,2,2|3,16,53
3,3,2,2,2,3,40,2,2|3,15,40
3,3,2,2,2,4,4,2,2|3,2,4
3,3,2,2,3,2,28,2,2|3,13,28
3,3,2,2,3,3,43,2,2|3,14,43
3,3,2,2,3,4,12,3,2|3|4,5,12
3,3,2,2,4,4,6,2,2|3,1,6
3,3,2,3,2,2,32,2,2|3,10,32
3,3,2,3,2,3,26,2,2|3,11,26
3,3,2,3,3,2,18,2,2|3,11,18
3,3,2,3,3,3,45,3,2|3|4,15,45
3,3,3,2,2,1,2,2,2|3,1,2
3,3,3,2,2,2,140,2,2|3,18,137
3,3,3,2,2,3,184,2,2|3,20,182
3,3,3,2,3,2,94,2,2|3,16,94
3,3,3,2,3,3,138,2,2|3,21,138
3,3,3,2,3,4,26,2,2|3,11,26
3,3,3,2,4,3,11,3,2|3|4,7,11
3,3,3,3,2,2,211,3,2|3|4,22,210
3,3,3,3,2,3,279,3,2|3|4,26,273
3,3,3,3,2,4,61,3,2|3|4,11,61
3,3,3,3,3,2,199,2,2|3,23,195
3,3,3,3,3,3,921,3,2|3|4,27,894
3,3,3,3,3,4,214,2,3|4,24,214
3,3,3,3,4,3,198,2,3|4,24,193
3,3,3,3,4,4,176,3,2|3|4,22,174
3,3,3,3,4,5,13,2,3|4,8,13
3,3,3,3,5,4,2,2,3|4,2,2
3,3,3,4,2,3,21,2,2|3,7,21
3,3,3,4,3,3,162,2,3|4,21,162
3,3,3,4,3,4,63,2,3|4,19,63
3,3,3,4,3,5,3,2,3|4,3,3
3,3,3,4,4,3,141,2,3|4,19,140
3,3,3,4,4,4,62,2,3|4,18,62
3,3,3,4,4,5,3,2,3|4,3,3
3,3,3,4,5,4,5,2,3|4,4,5
3,3,4,2,3,3,14,2,2|3,5,14
3,3,4,2,3,4,5,2,3|4,3,5
3,3,4,3,2,3,24,2,3|4,12,24
3,3,4,3,2,4,7,2,3|4,4,7
3,3,4,3,3,2,18,2,2|3,9,18
3,3,4,3,3,3,219,3,2|3|4,23,215
3,3,4,3,3,4,132,2,3|4,23,132
3,3,4,3,4,3,110,2,3|4,17,109
3,3,4,3,4,4,76,2,3|4,13,75
3,3,4,3,4,5,4,2,3|4,1,4
3,3,4,4,2,4,5,2,3|4,2,5
3,3,4,4,3,3,196,2,3|4,22,196
3,3,4,4,3,4,123,2,3|4,18,121
3,3,4,4,4,3,150,3,2|3|4,20,149
3,3,4,4,4,4,97,2,3|4,21,97
3,3,4,4,5,4,9,2,3|4,6,9
3,4,2,2,2,3,2,2,2|3,2,2
3,4,2,2,3,4,6,2,3|4,1,6
3,4,2,2,4,4,9,3,2|3|4,1,9
3,4,2,2,5,4,3,2,3|4,1,3
3,4,2,3,4,4,10,2,3|4,2,10
3,4,3,2,2,2,3,2,2|3,3,3
3,4,3,3,3,2,21,3,2|3|4,9,21
3,4,3,3,3,3,120,3,2|3|4,16,119
3,4,3,3,3,4,67,2,3|4,19,67
3,4,3,3,4,2,8,2,3|4,7,8
3,4,3,3,4,3,62,2,3|4,14,62
3,4,3,3,4,4,75,2,3|4,16,75
3,4,3,3,4,5,3,2,3|4,2,3
3,4,3,3,5,4,10,2,3|4,5,10
3,4,3,4,2,4,5,2,3|4,4,5
3,4,3,4,3,3,61,2,3|4,17,61
3,4,3,4,3,4,50,2,3|4,17,50
3,4,3,4,4,2,6,2,3|4,4,6
3,4,3,4,4,3,60,3,2|3|4,17,59
3,4,3,4,4,4,53,2,3|4,17,53
3,4,4,2,3,3,3,2,3|4,2,3
3,4,4,3,2,3,6,2,3|4,4,6
3,4,4,3,3,3,80,2,3|4,17,79
3,4,4,3,3,4,71,2,3|4,16,71
3,4,4,3,4,2,3,2,3|4,2,3
3,4,4,3,4,3,56,2,3|4,16,56
3,4,4,3,4,4,42,2,3|4,15,42
3,4,4,3,5,5,2,2,4|5,1,2
3,4,4,4,2,3,5,2,3|4,5,5
3,4,4,4,2,4,3,2,3|4,2,3
3,4,4,4,3,3,92,2,3|4,21,91
3,4,4,4,3,4,76,2,3|4,19,76
3,4,4,4,4,3,78,2,3|4,20,77
3,4,4,4,4,4,112,2,3|4,19,112
3,4,4,4,4,5,14,2,4|5,9,14
3,4,4,4,5,3,2,2,3|4,2,2
3,4,4,4,5,5,8,2,4|5,5,8
3,4,4,5,4,5,6,2,4|5,4,6
3,4,5,3,4,3,2,2,3|4,1,2
3,4,5,3,4,4,3,2,4|5,2,3
3,4,5,4,3,4,4,2,4|5,2,4
3,5,4,4,5,5,4,2,4|5,2,4
3,5,5,5,5,5,3,2,4|5,2,3
4,2,2,2,3,2,2,2,2|3,2,2
4,2,3,2,2,2,3,2,2|3,3,3
4,2,3,2,2,3,3,2,2|3,3,3
4,2,3,2,2,4,3,2,2|3,2,3
4,2,4,3,3,4,5,2,3|4,3,5
4,2,4,3,4,3,4,2,3|4,3,4
4,2,4,3,4,4,2,2,3|4,2,2
4,2,4,4,4,3,5,2,3|4,3,5
4,3,3,2,2,2,2,2,2|3,2,2
4,3,3,2,2,3,12,2,2|3,6,12
4,3,3,2,3,2,6,2,2|3,4,6
4,3,3,3,2,3,66,3,2|3|4,15,66
4,3,3,3,2,4,33,2,3|4,7,33
4,3,3,3,3,3,183,2,3|4,22,178
4,3,3,3,3,4,128,2,3|4,21,124
4,3,3,3,3,5,3,2,3|4,3,3
4,3,3,3,4,3,107,2,3|4,17,107
4,3,3,3,4,4,97,2,3|4,19,96
4,3,3,3,4,5,2,2,3|4,2,2
4,3,3,3,5,3,2,2,3|4,2,2
4,3,3,3,5,4,4,2,3|4,3,4
4,3,3,4,2,3,5,2,3|4,3,5
4,3,3,4,3,2,9,2,3|4,7,9
4,3,3,4,3,3,107,2,3|4,17,105
4,3,3,4,3,4,61,2,3|4,16,61
4,3,3,4,3,5,3,2,3|4,3,3
4,3,3,4,4,2,7,2,3|4,4,7
4,3,3,4,4,3,108,2,3|4,19,108
4,3,3,4,4,4,55,2,3|4,16,54
4,3,4,3,2,3,18,2,3|4,10,18
4,3,4,3,2,4,8,2,3|4,5,8
4,3,4,3,3,3,170,2,3|4,21,166
4,3,4,3,3,4,119,2,3|4,16,118
4,3,4,3,4,2,2,2,3|4,2,2
4,3,4,3,4,3,95,2,3|4,16,95
4,3,4,3,4,4,52,2,3|4,12,52
4,3,4,3,4,5,6,2,3|4,4,6
4,3,4,4,2,4,10,2,3|4,4,10
4,3,4,4,3,2,9,2,3|4,6,9
4,3,4,4,3,3,195,2,3|4,21,194
4,3,4,4,3,4,165,2,3|4,20,161
4,3,4,4,3,5,3,2,3|4,2,3
4,3,4,4,4,2,7,2,3|4,4,7
4,3,4,4,4,3,130,2,3|4,23,129
4,3,4,4,4,4,115,2,3|4,19,115
4,3,4,5,5,5,2,2,4|5,2,2
4,4,2,3,4,3,3,2,3|4,2,3
4,4,2,4,4,3,2,2,3|4,2,2
4,4,3,2,3,4,5,2,3|4,4,5
4,4,3,3,2,3,13,2,3|4,5,13
4,4,3,3,2,4,11,2,3|4,2,11
4,4,3,3,3,3,73,2,3|4,18,72
4,4,3,3,3,4,77,2,3|4,21,74
4,4,3,3,4,2,5,2,3|4,3,5
4,4,3,3,4,3,58,3,3|4|5,16,58
4,4,3,3,4,4,64,3,3|4|5,16,64
4,4,3,4,2,4,9,2,3|4,2,9
4,4,3,4,3,2,4,2,3|4,2,4
4,4,3,4,3,3,71,2,3|4,18,71
4,4,3,4,3,4,71,2,3|4,17,71
4,4,3,4,4,3,59,2,3|4,17,58
4,4,3,4,4,4,100,2,3|4,18,99
4,4,3,4,5,5,9,2,4|5,5,9
4,4,4,3,2,3,9,2,3|4,6,9
4,4,4,3,2,4,2,2,3|4,2,2
4,4,4,3,3,3,75,3,3|4|5,16,75
4,4,4,3,3,4,65,2,3|4,18,64
4,4,4,3,3,5,3,2,4|5,2,3
4,4,4,3,4,3,35,2,3|4,13,34
4,4,4,3,4,4,56,2,4|5,17,54
4,4,4,4,3,3,122,2,3|4,20,120
4,4,4,4,3,4,162,3,3|4|5,25,159
4,4,4,4,4,3,153,2,3|4,21,152
4,4,4,4,4,4,347,3,3|4|5,23,337
4,4,4,4,4,5,46,2,4|5,17,46
4,4,4,4,5,4,53,2,4|5,13,53
4,4,4,4,5,5,37,2,4|5,11,36
4,4,4,5,4,4,26,2,4|5,12,26
4,4,4,5,4,5,11,2,4|5,7,11
4,4,4,5,5,4,20,2,4|5,10,20
4,4,4,5,5,5,5,2,4|5,4,5
4,4,5,3,4,4,5,2,4|5,3,5
4,4,5,4,3,4,13,2,4|5,10,13
4,4,5,4,5,4,25,2,4|5,8,25
4,4,5,4,5,5,7,2,4|5,4,7
4,4,5,5,4,4,27,2,4|5,12,27
4,4,5,5,4,5,11,2,4|5,7,11
4,4,5,5,5,4,20,2,4|5,11,20
4,5,4,3,4,5,2,2,4|5,1,2
4,5,4,4,3,4,4,2,4|5,3,4
4,5,4,4,4,4,22,2,4|5,10,22
4,5,4,4,4,5,14,2,4|5,8,14
4,5,4,4,5,4,11,2,4|5,7,11
4,5,4,4,5,5,29,2,4|5,10,29
4,5,4,5,4,4,7,2,4|5,6,7
4,5,4,5,4,5,5,2,4|5,5,5
4,5,4,5,5,4,12,2,4|5,8,12
4,5,4,5,5,5,16,2,4|5,9,16
4,5,5,4,4,5,6,2,4|5,4,6
4,5,5,4,5,4,15,2,4|5,7,15
4,5,5,5,4,3,3,2,4|5,3,3
4,5,5,5,4,4,25,2,4|5,10,25
4,5,5,5,4,5,8,2,4|5,8,8
4,5,5,5,5,4,19,2,4|5,8,19
4,5,5,5,5,5,23,2,4|5,9,23
5,3,3,4,2,3,2,2,3|4,2,2
5,3,3,4,4,3,2,2,3|4,2,2
5,3,4,3,3,4,3,2,3|4,3,3
5,4,3,3,3,4,4,2,3|4,3,4
5,4,3,4,3,4,3,2,3|4,3,3
5,4,3,4,4,5,2,2,4|5,2,2
5,4,4,4,3,3,14,2,3|4,9,14
5,4,4,4,4,3,12,2,4|5,7,12
5,4,4,4,4,4,56,2,4|5,16,55
5,4,4,4,4,5,23,2,4|5,12,23
5,4,4,4,5,4,17,2,4|5,10,17
5,4,4,4,5,5,9,2,4|5,5,9
5,4,4,5,4,4,19,2,4|5,9,19
5,4,4,5,4,5,6,2,4|5,5,6
5,4,4,5,5,4,20,2,4|5,11,20
5,4,5,4,4,4,23,2,4|5,12,23
5,4,5,4,4,5,12,2,4|5,9,12
5,4,5,4,5,4,18,2,4|5,10,18
5,4,5,4,5,5,3,2,4|5,3,3
5,4,5,5,4,3,2,2,4|5,2,2
5,4,5,5,4,4,32,2,4|5,11,32
5,4,5,5,4,5,9,2,4|5,5,9
5,4,5,5,5,4,23,2,4|5,8,23
5,5,4,4,3,4,2,2,4|5,2,2
5,5,4,4,4,4,7,2,4|5,6,7
5,5,4,4,5,4,14,2,4|5,9,14
5,5,4,5,4,4,7,2,4|5,3,7
5,5,4,5,5,5,6,2,4|5,4,6
5,5,5,4,4,4,8,2,4|5,6,8
5,5,5,4,5,4,4,2,4|5,3,4
5,5,5,5,4,4,22,2,4|5,12,22
